GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US06037101110,06037101110,"Census Tract 1011.10, Los Angeles County, California",4898,401
1400000US06037101122,06037101122,"Census Tract 1011.22, Los Angeles County, California",3491,361
1400000US06037101210,06037101210,"Census Tract 1012.10, Los Angeles County, California",6216,616
1400000US06037101220,06037101220,"Census Tract 1012.20, Los Angeles County, California",2830,283
1400000US06037101300,06037101300,"Census Tract 1013, Los Angeles County, California",4267,355
1400000US06037101400,06037101400,"Census Tract 1014, Los Angeles County, California",4305,313
1400000US06037102103,06037102103,"Census Tract 1021.03, Los Angeles County, California",1947,167
1400000US06037102104,06037102104,"Census Tract 1021.04, Los Angeles County, California",3344,269
1400000US06037102105,06037102105,"Census Tract 1021.05, Los Angeles County, California",1880,211
1400000US06037102107,06037102107,"Census Tract 1021.07, Los Angeles County, California",3793,373
1400000US06037103101,06037103101,"Census Tract 1031.01, Los Angeles County, California",2964,245
1400000US06037103102,06037103102,"Census Tract 1031.02, Los Angeles County, California",4733,497
1400000US06037103200,06037103200,"Census Tract 1032, Los Angeles County, California",6289,595
1400000US06037103300,06037103300,"Census Tract 1033, Los Angeles County, California",3311,423
1400000US06037103400,06037103400,"Census Tract 1034, Los Angeles County, California",6908,418
1400000US06037104103,06037104103,"Census Tract 1041.03, Los Angeles County, California",3814,485
1400000US06037104105,06037104105,"Census Tract 1041.05, Los Angeles County, California",5871,508
1400000US06037104108,06037104108,"Census Tract 1041.08, Los Angeles County, California",5076,591
1400000US06037104124,06037104124,"Census Tract 1041.24, Los Angeles County, California",4227,512
1400000US06037104201,06037104201,"Census Tract 1042.01, Los Angeles County, California",4591,469
1400000US06037104203,06037104203,"Census Tract 1042.03, Los Angeles County, California",4830,482
1400000US06037104204,06037104204,"Census Tract 1042.04, Los Angeles County, California",3438,447
1400000US06037104310,06037104310,"Census Tract 1043.10, Los Angeles County, California",5028,453
1400000US06037104320,06037104320,"Census Tract 1043.20, Los Angeles County, California",5868,1194
1400000US06037104401,06037104401,"Census Tract 1044.01, Los Angeles County, California",3509,405
1400000US06037104403,06037104403,"Census Tract 1044.03, Los Angeles County, California",2851,405
1400000US06037104404,06037104404,"Census Tract 1044.04, Los Angeles County, California",2845,299
1400000US06037104500,06037104500,"Census Tract 1045, Los Angeles County, California",2906,457
1400000US06037104610,06037104610,"Census Tract 1046.10, Los Angeles County, California",3553,337
1400000US06037104620,06037104620,"Census Tract 1046.20, Los Angeles County, California",3421,425
1400000US06037104701,06037104701,"Census Tract 1047.01, Los Angeles County, California",3836,309
1400000US06037104703,06037104703,"Census Tract 1047.03, Los Angeles County, California",2138,316
1400000US06037104704,06037104704,"Census Tract 1047.04, Los Angeles County, California",4357,334
1400000US06037104810,06037104810,"Census Tract 1048.10, Los Angeles County, California",5729,562
1400000US06037104821,06037104821,"Census Tract 1048.21, Los Angeles County, California",3290,347
1400000US06037104822,06037104822,"Census Tract 1048.22, Los Angeles County, California",2228,379
1400000US06037106010,06037106010,"Census Tract 1060.10, Los Angeles County, California",2924,264
1400000US06037106020,06037106020,"Census Tract 1060.20, Los Angeles County, California",6499,526
1400000US06037106111,06037106111,"Census Tract 1061.11, Los Angeles County, California",4582,360
1400000US06037106112,06037106112,"Census Tract 1061.12, Los Angeles County, California",6026,409
1400000US06037106113,06037106113,"Census Tract 1061.13, Los Angeles County, California",3560,327
1400000US06037106114,06037106114,"Census Tract 1061.14, Los Angeles County, California",5729,555
1400000US06037106403,06037106403,"Census Tract 1064.03, Los Angeles County, California",3258,459
1400000US06037106405,06037106405,"Census Tract 1064.05, Los Angeles County, California",3377,325
1400000US06037106406,06037106406,"Census Tract 1064.06, Los Angeles County, California",5289,491
1400000US06037106407,06037106407,"Census Tract 1064.07, Los Angeles County, California",2670,367
1400000US06037106408,06037106408,"Census Tract 1064.08, Los Angeles County, California",3769,374
1400000US06037106510,06037106510,"Census Tract 1065.10, Los Angeles County, California",5274,549
1400000US06037106520,06037106520,"Census Tract 1065.20, Los Angeles County, California",5672,501
1400000US06037106603,06037106603,"Census Tract 1066.03, Los Angeles County, California",3310,176
1400000US06037106604,06037106604,"Census Tract 1066.04, Los Angeles County, California",4785,570
1400000US06037106641,06037106641,"Census Tract 1066.41, Los Angeles County, California",2176,180
1400000US06037106642,06037106642,"Census Tract 1066.42, Los Angeles County, California",3323,209
1400000US06037106643,06037106643,"Census Tract 1066.43, Los Angeles County, California",4452,301
1400000US06037106645,06037106645,"Census Tract 1066.45, Los Angeles County, California",3499,288
1400000US06037106646,06037106646,"Census Tract 1066.46, Los Angeles County, California",3505,246
1400000US06037106648,06037106648,"Census Tract 1066.48, Los Angeles County, California",4348,619
1400000US06037106649,06037106649,"Census Tract 1066.49, Los Angeles County, California",2605,233
1400000US06037107010,06037107010,"Census Tract 1070.10, Los Angeles County, California",3175,290
1400000US06037107020,06037107020,"Census Tract 1070.20, Los Angeles County, California",5150,477
1400000US06037108101,06037108101,"Census Tract 1081.01, Los Angeles County, California",2330,167
1400000US06037108102,06037108102,"Census Tract 1081.02, Los Angeles County, California",3727,344
1400000US06037108103,06037108103,"Census Tract 1081.03, Los Angeles County, California",3289,213
1400000US06037108104,06037108104,"Census Tract 1081.04, Los Angeles County, California",1861,115
1400000US06037108201,06037108201,"Census Tract 1082.01, Los Angeles County, California",5695,299
1400000US06037108202,06037108202,"Census Tract 1082.02, Los Angeles County, California",5891,471
1400000US06037109100,06037109100,"Census Tract 1091, Los Angeles County, California",2377,212
1400000US06037109200,06037109200,"Census Tract 1092, Los Angeles County, California",2673,295
1400000US06037109300,06037109300,"Census Tract 1093, Los Angeles County, California",3512,285
1400000US06037109400,06037109400,"Census Tract 1094, Los Angeles County, California",3563,340
1400000US06037109500,06037109500,"Census Tract 1095, Los Angeles County, California",4834,577
1400000US06037109601,06037109601,"Census Tract 1096.01, Los Angeles County, California",5285,460
1400000US06037109603,06037109603,"Census Tract 1096.03, Los Angeles County, California",4017,409
1400000US06037109604,06037109604,"Census Tract 1096.04, Los Angeles County, California",2954,262
1400000US06037109700,06037109700,"Census Tract 1097, Los Angeles County, California",4727,609
1400000US06037109800,06037109800,"Census Tract 1098, Los Angeles County, California",4385,304
1400000US06037111100,06037111100,"Census Tract 1111, Los Angeles County, California",3017,264
1400000US06037111201,06037111201,"Census Tract 1112.01, Los Angeles County, California",3377,264
1400000US06037111202,06037111202,"Census Tract 1112.02, Los Angeles County, California",5255,537
1400000US06037111204,06037111204,"Census Tract 1112.04, Los Angeles County, California",6163,270
1400000US06037111205,06037111205,"Census Tract 1112.05, Los Angeles County, California",3841,366
1400000US06037111206,06037111206,"Census Tract 1112.06, Los Angeles County, California",4813,439
1400000US06037111301,06037111301,"Census Tract 1113.01, Los Angeles County, California",7303,639
1400000US06037111302,06037111302,"Census Tract 1113.02, Los Angeles County, California",5136,391
1400000US06037111400,06037111400,"Census Tract 1114, Los Angeles County, California",7938,696
1400000US06037113101,06037113101,"Census Tract 1131.01, Los Angeles County, California",3740,351
1400000US06037113102,06037113102,"Census Tract 1131.02, Los Angeles County, California",2983,210
1400000US06037113211,06037113211,"Census Tract 1132.11, Los Angeles County, California",4013,256
1400000US06037113212,06037113212,"Census Tract 1132.12, Los Angeles County, California",3299,259
1400000US06037113213,06037113213,"Census Tract 1132.13, Los Angeles County, California",4657,297
1400000US06037113231,06037113231,"Census Tract 1132.31, Los Angeles County, California",2186,124
1400000US06037113232,06037113232,"Census Tract 1132.32, Los Angeles County, California",4094,391
1400000US06037113233,06037113233,"Census Tract 1132.33, Los Angeles County, California",7477,909
1400000US06037113234,06037113234,"Census Tract 1132.34, Los Angeles County, California",4678,420
1400000US06037113235,06037113235,"Census Tract 1132.35, Los Angeles County, California",1619,192
1400000US06037113237,06037113237,"Census Tract 1132.37, Los Angeles County, California",4020,336
1400000US06037113301,06037113301,"Census Tract 1133.01, Los Angeles County, California",2376,227
1400000US06037113303,06037113303,"Census Tract 1133.03, Los Angeles County, California",4210,309
1400000US06037113321,06037113321,"Census Tract 1133.21, Los Angeles County, California",5616,500
1400000US06037113322,06037113322,"Census Tract 1133.22, Los Angeles County, California",3945,280
1400000US06037113401,06037113401,"Census Tract 1134.01, Los Angeles County, California",5741,330
1400000US06037113421,06037113421,"Census Tract 1134.21, Los Angeles County, California",6859,522
1400000US06037113422,06037113422,"Census Tract 1134.22, Los Angeles County, California",6410,588
1400000US06037115101,06037115101,"Census Tract 1151.01, Los Angeles County, California",5126,338
1400000US06037115103,06037115103,"Census Tract 1151.03, Los Angeles County, California",2870,310
1400000US06037115104,06037115104,"Census Tract 1151.04, Los Angeles County, California",4332,390
1400000US06037115201,06037115201,"Census Tract 1152.01, Los Angeles County, California",6880,467
1400000US06037115202,06037115202,"Census Tract 1152.02, Los Angeles County, California",4808,480
1400000US06037115301,06037115301,"Census Tract 1153.01, Los Angeles County, California",4100,281
1400000US06037115302,06037115302,"Census Tract 1153.02, Los Angeles County, California",4234,385
1400000US06037115401,06037115401,"Census Tract 1154.01, Los Angeles County, California",5751,475
1400000US06037115403,06037115403,"Census Tract 1154.03, Los Angeles County, California",3547,331
1400000US06037115404,06037115404,"Census Tract 1154.04, Los Angeles County, California",3024,371
1400000US06037117101,06037117101,"Census Tract 1171.01, Los Angeles County, California",5112,527
1400000US06037117102,06037117102,"Census Tract 1171.02, Los Angeles County, California",2692,284
1400000US06037117201,06037117201,"Census Tract 1172.01, Los Angeles County, California",4591,508
1400000US06037117202,06037117202,"Census Tract 1172.02, Los Angeles County, California",2415,170
1400000US06037117301,06037117301,"Census Tract 1173.01, Los Angeles County, California",3928,309
1400000US06037117302,06037117302,"Census Tract 1173.02, Los Angeles County, California",5316,487
1400000US06037117303,06037117303,"Census Tract 1173.03, Los Angeles County, California",3493,257
1400000US06037117404,06037117404,"Census Tract 1174.04, Los Angeles County, California",3998,340
1400000US06037117405,06037117405,"Census Tract 1174.05, Los Angeles County, California",3876,339
1400000US06037117407,06037117407,"Census Tract 1174.07, Los Angeles County, California",3501,358
1400000US06037117408,06037117408,"Census Tract 1174.08, Los Angeles County, California",3204,362
1400000US06037117510,06037117510,"Census Tract 1175.10, Los Angeles County, California",4001,363
1400000US06037117520,06037117520,"Census Tract 1175.20, Los Angeles County, California",3708,395
1400000US06037117530,06037117530,"Census Tract 1175.30, Los Angeles County, California",5846,459
1400000US06037119001,06037119001,"Census Tract 1190.01, Los Angeles County, California",3960,414
1400000US06037119002,06037119002,"Census Tract 1190.02, Los Angeles County, California",7222,724
1400000US06037119201,06037119201,"Census Tract 1192.01, Los Angeles County, California",4019,333
1400000US06037119202,06037119202,"Census Tract 1192.02, Los Angeles County, California",4538,461
1400000US06037119310,06037119310,"Census Tract 1193.10, Los Angeles County, California",3765,397
1400000US06037119320,06037119320,"Census Tract 1193.20, Los Angeles County, California",4761,365
1400000US06037119340,06037119340,"Census Tract 1193.40, Los Angeles County, California",3752,305
1400000US06037119341,06037119341,"Census Tract 1193.41, Los Angeles County, California",2643,222
1400000US06037119342,06037119342,"Census Tract 1193.42, Los Angeles County, California",3484,287
1400000US06037119400,06037119400,"Census Tract 1194, Los Angeles County, California",5357,697
1400000US06037119700,06037119700,"Census Tract 1197, Los Angeles County, California",4799,599
1400000US06037119800,06037119800,"Census Tract 1198, Los Angeles County, California",6239,494
1400000US06037119900,06037119900,"Census Tract 1199, Los Angeles County, California",5124,475
1400000US06037120010,06037120010,"Census Tract 1200.10, Los Angeles County, California",2896,294
1400000US06037120020,06037120020,"Census Tract 1200.20, Los Angeles County, California",4888,574
1400000US06037120030,06037120030,"Census Tract 1200.30, Los Angeles County, California",2727,358
1400000US06037120103,06037120103,"Census Tract 1201.03, Los Angeles County, California",3218,354
1400000US06037120104,06037120104,"Census Tract 1201.04, Los Angeles County, California",2597,325
1400000US06037120105,06037120105,"Census Tract 1201.05, Los Angeles County, California",2926,260
1400000US06037120106,06037120106,"Census Tract 1201.06, Los Angeles County, California",4499,405
1400000US06037120107,06037120107,"Census Tract 1201.07, Los Angeles County, California",3644,323
1400000US06037120108,06037120108,"Census Tract 1201.08, Los Angeles County, California",4654,374
1400000US06037120300,06037120300,"Census Tract 1203, Los Angeles County, California",5609,399
1400000US06037120400,06037120400,"Census Tract 1204, Los Angeles County, California",6938,431
1400000US06037121010,06037121010,"Census Tract 1210.10, Los Angeles County, California",4942,419
1400000US06037121020,06037121020,"Census Tract 1210.20, Los Angeles County, California",3641,303
1400000US06037121101,06037121101,"Census Tract 1211.01, Los Angeles County, California",3298,326
1400000US06037121102,06037121102,"Census Tract 1211.02, Los Angeles County, California",2537,233
1400000US06037121210,06037121210,"Census Tract 1212.10, Los Angeles County, California",2862,264
1400000US06037121221,06037121221,"Census Tract 1212.21, Los Angeles County, California",2259,219
1400000US06037121222,06037121222,"Census Tract 1212.22, Los Angeles County, California",4815,429
1400000US06037121600,06037121600,"Census Tract 1216, Los Angeles County, California",2634,327
1400000US06037121801,06037121801,"Census Tract 1218.01, Los Angeles County, California",3463,370
1400000US06037121802,06037121802,"Census Tract 1218.02, Los Angeles County, California",3272,522
1400000US06037121900,06037121900,"Census Tract 1219, Los Angeles County, California",4314,453
1400000US06037122000,06037122000,"Census Tract 1220, Los Angeles County, California",5503,482
1400000US06037122120,06037122120,"Census Tract 1221.20, Los Angeles County, California",4671,422
1400000US06037122121,06037122121,"Census Tract 1221.21, Los Angeles County, California",2950,293
1400000US06037122122,06037122122,"Census Tract 1221.22, Los Angeles County, California",2238,213
1400000US06037122200,06037122200,"Census Tract 1222, Los Angeles County, California",4633,541
1400000US06037122410,06037122410,"Census Tract 1224.10, Los Angeles County, California",3788,374
