GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US06037101110,06037101110,"Census Tract 1011.10, Los Angeles County, California",1191,84
1400000US06037101122,06037101122,"Census Tract 1011.22, Los Angeles County, California",1930,223
1400000US06037101210,06037101210,"Census Tract 1012.10, Los Angeles County, California",1128,61
1400000US06037101220,06037101220,"Census Tract 1012.20, Los Angeles County, California",1014,89
1400000US06037101300,06037101300,"Census Tract 1013, Los Angeles County, California",1682,390
1400000US06037101400,06037101400,"Census Tract 1014, Los Angeles County, California",1073,131
1400000US06037102103,06037102103,"Census Tract 1021.03, Los Angeles County, California","2,000+",***
1400000US06037102104,06037102104,"Census Tract 1021.04, Los Angeles County, California","2,000+",***
1400000US06037102105,06037102105,"Census Tract 1021.05, Los Angeles County, California",1391,109
1400000US06037102107,06037102107,"Census Tract 1021.07, Los Angeles County, California",883,683
1400000US06037103101,06037103101,"Census Tract 1031.01, Los Angeles County, California",1611,642
1400000US06037103102,06037103102,"Census Tract 1031.02, Los Angeles County, California",1471,632
1400000US06037103200,06037103200,"Census Tract 1032, Los Angeles County, California",957,68
1400000US06037103300,06037103300,"Census Tract 1033, Los Angeles County, California","2,000+",***
1400000US06037103400,06037103400,"Census Tract 1034, Los Angeles County, California",1220,132
1400000US06037104103,06037104103,"Census Tract 1041.03, Los Angeles County, California",1561,548
1400000US06037104105,06037104105,"Census Tract 1041.05, Los Angeles County, California",775,170
1400000US06037104108,06037104108,"Census Tract 1041.08, Los Angeles County, California",1210,237
1400000US06037104124,06037104124,"Census Tract 1041.24, Los Angeles County, California",1384,212
1400000US06037104201,06037104201,"Census Tract 1042.01, Los Angeles County, California",1774,311
1400000US06037104203,06037104203,"Census Tract 1042.03, Los Angeles County, California",1203,128
1400000US06037104204,06037104204,"Census Tract 1042.04, Los Angeles County, California",1006,171
1400000US06037104310,06037104310,"Census Tract 1043.10, Los Angeles County, California",1636,150
1400000US06037104320,06037104320,"Census Tract 1043.20, Los Angeles County, California",1207,521
1400000US06037104401,06037104401,"Census Tract 1044.01, Los Angeles County, California",1640,155
1400000US06037104403,06037104403,"Census Tract 1044.03, Los Angeles County, California",1354,163
1400000US06037104404,06037104404,"Census Tract 1044.04, Los Angeles County, California",1211,124
1400000US06037104500,06037104500,"Census Tract 1045, Los Angeles County, California",1146,286
1400000US06037104610,06037104610,"Census Tract 1046.10, Los Angeles County, California",1628,257
1400000US06037104620,06037104620,"Census Tract 1046.20, Los Angeles County, California",1238,168
1400000US06037104701,06037104701,"Census Tract 1047.01, Los Angeles County, California",733,113
1400000US06037104703,06037104703,"Census Tract 1047.03, Los Angeles County, California",1321,65
1400000US06037104704,06037104704,"Census Tract 1047.04, Los Angeles County, California",1371,165
1400000US06037104810,06037104810,"Census Tract 1048.10, Los Angeles County, California",1517,171
1400000US06037104821,06037104821,"Census Tract 1048.21, Los Angeles County, California",1273,119
1400000US06037104822,06037104822,"Census Tract 1048.22, Los Angeles County, California",1345,78
1400000US06037106010,06037106010,"Census Tract 1060.10, Los Angeles County, California",1640,307
1400000US06037106020,06037106020,"Census Tract 1060.20, Los Angeles County, California","2,000+",***
1400000US06037106111,06037106111,"Census Tract 1061.11, Los Angeles County, California","2,000+",***
1400000US06037106112,06037106112,"Census Tract 1061.12, Los Angeles County, California",1200,892
1400000US06037106113,06037106113,"Census Tract 1061.13, Los Angeles County, California",1079,331
1400000US06037106114,06037106114,"Census Tract 1061.14, Los Angeles County, California",1144,91
