GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
1400000US53005011504,53005011504,"Census Tract 115.04, Benton County, Washington",2355,210,1506,190,1506,190,1456,187,50,39,0,12,849,148
1400000US53005011600,53005011600,"Census Tract 116, Benton County, Washington",658,93,461,100,460,100,421,92,39,29,1,2,197,48
1400000US53005011700,53005011700,"Census Tract 117, Benton County, Washington",5388,372,3529,431,3529,431,3066,356,463,212,0,17,1859,321
1400000US53005011800,53005011800,"Census Tract 118, Benton County, Washington",5471,480,3384,411,3384,411,2880,400,504,222,0,17,2087,315
1400000US53005011900,53005011900,"Census Tract 119, Benton County, Washington",4410,299,2479,293,2479,293,2263,284,216,105,0,17,1931,257
1400000US53005012000,53005012000,"Census Tract 120, Benton County, Washington",16,21,8,11,8,11,8,11,0,12,0,12,8,11
1400000US53007960100,53007960100,"Census Tract 9601, Chelan County, Washington",1921,184,1118,146,1118,146,992,132,126,41,0,12,803,108
1400000US53007960200,53007960200,"Census Tract 9602, Chelan County, Washington",5344,591,3130,509,3126,510,2862,451,264,133,4,7,2214,338
1400000US53007960300,53007960300,"Census Tract 9603, Chelan County, Washington",5686,705,3286,596,3286,596,2841,571,445,208,0,17,2400,373
1400000US53007960400,53007960400,"Census Tract 9604, Chelan County, Washington",2606,385,1614,334,1614,334,1464,350,150,121,0,12,992,190
1400000US53007960500,53007960500,"Census Tract 9605, Chelan County, Washington",4992,551,3379,430,3379,430,3179,412,200,122,0,17,1613,360
1400000US53007960600,53007960600,"Census Tract 9606, Chelan County, Washington",3429,198,2108,178,2108,178,1908,169,200,93,0,12,1321,173
1400000US53007960700,53007960700,"Census Tract 9607, Chelan County, Washington",2864,252,1735,206,1735,206,1632,196,103,72,0,12,1129,173
1400000US53007960801,53007960801,"Census Tract 9608.01, Chelan County, Washington",2236,206,1316,189,1303,189,1172,200,131,86,13,19,920,140
1400000US53007960802,53007960802,"Census Tract 9608.02, Chelan County, Washington",5890,505,3355,512,3355,512,3078,513,277,163,0,17,2535,372
1400000US53007961000,53007961000,"Census Tract 9610, Chelan County, Washington",4683,446,2961,393,2961,393,2633,365,328,183,0,17,1722,315
1400000US53007961100,53007961100,"Census Tract 9611, Chelan County, Washington",7337,496,5193,546,5193,546,4545,477,648,242,0,17,2144,382
1400000US53007961200,53007961200,"Census Tract 9612, Chelan County, Washington",3201,396,2139,265,2139,265,1993,268,146,99,0,12,1062,273
1400000US53007961301,53007961301,"Census Tract 9613.01, Chelan County, Washington",995,116,569,110,569,110,557,112,12,16,0,12,426,100
1400000US53007961302,53007961302,"Census Tract 9613.02, Chelan County, Washington",6393,407,3838,431,3821,432,3572,443,249,108,17,28,2555,429
1400000US53009000200,53009000200,"Census Tract 2, Clallam County, Washington",1055,153,391,117,391,117,345,111,46,39,0,12,664,137
1400000US53009000300,53009000300,"Census Tract 3, Clallam County, Washington",3879,267,2164,222,2050,216,1840,215,210,112,114,110,1715,261
1400000US53009000400,53009000400,"Census Tract 4, Clallam County, Washington",1254,205,707,117,698,117,660,114,38,24,9,16,547,138
1400000US53009000600,53009000600,"Census Tract 6, Clallam County, Washington",2774,240,1385,171,1385,171,1224,172,161,61,0,12,1389,153
1400000US53009000700,53009000700,"Census Tract 7, Clallam County, Washington",3046,229,1799,230,1727,235,1520,234,207,108,72,60,1247,179
1400000US53009000800,53009000800,"Census Tract 8, Clallam County, Washington",3446,269,1956,227,1907,218,1615,190,292,114,49,49,1490,222
1400000US53009000900,53009000900,"Census Tract 9, Clallam County, Washington",2288,232,1380,217,1362,215,1261,204,101,58,18,30,908,151
1400000US53009001000,53009001000,"Census Tract 10, Clallam County, Washington",2067,205,1076,165,1067,164,932,154,135,70,9,15,991,186
1400000US53009001100,53009001100,"Census Tract 11, Clallam County, Washington",2381,213,1231,183,1231,183,1019,174,212,122,0,12,1150,142
1400000US53009001200,53009001200,"Census Tract 12, Clallam County, Washington",3164,215,1641,212,1627,212,1486,193,141,65,14,16,1523,233
1400000US53009001300,53009001300,"Census Tract 13, Clallam County, Washington",2820,248,1578,212,1568,214,1366,200,202,89,10,15,1242,174
1400000US53009001400,53009001400,"Census Tract 14, Clallam County, Washington",3884,276,2311,309,2311,309,2076,282,235,96,0,12,1573,218
1400000US53009001500,53009001500,"Census Tract 15, Clallam County, Washington",1851,157,1114,139,1114,139,916,132,198,86,0,12,737,105
1400000US53009001600,53009001600,"Census Tract 16, Clallam County, Washington",2888,199,1367,220,1352,217,1280,208,72,45,15,23,1521,245
1400000US53009001700,53009001700,"Census Tract 17, Clallam County, Washington",3903,353,1695,324,1695,324,1567,313,128,88,0,12,2208,277
1400000US53009001800,53009001800,"Census Tract 18, Clallam County, Washington",2174,186,1123,176,1104,177,1002,170,102,78,19,31,1051,162
1400000US53009001900,53009001900,"Census Tract 19, Clallam County, Washington",5064,357,2141,292,2141,292,2084,295,57,43,0,17,2923,292
1400000US53009002000,53009002000,"Census Tract 20, Clallam County, Washington",5071,448,1893,331,1868,327,1561,296,307,161,25,28,3178,340
1400000US53009002100,53009002100,"Census Tract 21, Clallam County, Washington",2988,255,1574,264,1569,263,1390,262,179,77,5,8,1414,204
1400000US53009002300,53009002300,"Census Tract 23, Clallam County, Washington",3731,307,1552,167,1552,167,1435,169,117,62,0,12,2179,275
1400000US53009940000,53009940000,"Census Tract 9400, Clallam County, Washington",1194,159,767,131,756,131,651,119,105,43,11,22,427,80
1400000US53009990100,53009990100,"Census Tract 9901, Clallam County, Washington",0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US53011040101,53011040101,"Census Tract 401.01, Clark County, Washington",3442,282,1879,237,1879,237,1700,237,179,76,0,12,1563,182
1400000US53011040102,53011040102,"Census Tract 401.02, Clark County, Washington",2418,204,1349,171,1349,171,1163,171,186,79,0,12,1069,156
1400000US53011040201,53011040201,"Census Tract 402.01, Clark County, Washington",4567,341,2982,295,2982,295,2763,274,219,91,0,17,1585,197
1400000US53011040202,53011040202,"Census Tract 402.02, Clark County, Washington",2950,216,1694,156,1694,156,1679,158,15,13,0,12,1256,172
1400000US53011040203,53011040203,"Census Tract 402.03, Clark County, Washington",4087,261,2569,225,2569,225,2419,226,150,69,0,12,1518,212
1400000US53011040301,53011040301,"Census Tract 403.01, Clark County, Washington",1296,190,740,141,740,141,711,134,29,32,0,12,556,131
1400000US53011040302,53011040302,"Census Tract 403.02, Clark County, Washington",5001,428,3439,382,3398,394,3136,412,262,128,41,61,1562,314
1400000US53011040403,53011040403,"Census Tract 404.03, Clark County, Washington",2963,335,1650,227,1650,227,1544,212,106,64,0,12,1313,259
1400000US53011040407,53011040407,"Census Tract 404.07, Clark County, Washington",3639,246,2418,218,2418,218,2190,215,228,86,0,17,1221,203
1400000US53011040408,53011040408,"Census Tract 404.08, Clark County, Washington",2688,278,1470,197,1470,197,1392,191,78,46,0,12,1218,181
1400000US53011040409,53011040409,"Census Tract 404.09, Clark County, Washington",1503,128,834,79,834,79,810,79,24,21,0,12,669,90
1400000US53011040411,53011040411,"Census Tract 404.11, Clark County, Washington",1490,126,1054,129,1038,130,965,129,73,48,16,24,436,93
1400000US53011040412,53011040412,"Census Tract 404.12, Clark County, Washington",3509,234,2327,236,2327,236,2231,233,96,83,0,12,1182,163
1400000US53011040413,53011040413,"Census Tract 404.13, Clark County, Washington",2211,186,1462,132,1442,131,1283,131,159,68,20,30,749,167
1400000US53011040414,53011040414,"Census Tract 404.14, Clark County, Washington",4142,279,2814,261,2814,261,2514,285,300,141,0,17,1328,222
1400000US53011040415,53011040415,"Census Tract 404.15, Clark County, Washington",3198,247,1721,266,1721,266,1606,252,115,57,0,12,1477,231
1400000US53011040416,53011040416,"Census Tract 404.16, Clark County, Washington",2494,211,1593,195,1593,195,1490,194,103,81,0,12,901,139
1400000US53011040504,53011040504,"Census Tract 405.04, Clark County, Washington",3976,463,2074,230,2074,230,1795,204,279,138,0,17,1902,371
1400000US53011040505,53011040505,"Census Tract 405.05, Clark County, Washington",4456,257,2738,257,2738,257,2549,249,189,76,0,17,1718,185
1400000US53011040507,53011040507,"Census Tract 405.07, Clark County, Washington",1814,176,1095,133,1095,133,928,133,167,76,0,12,719,132
1400000US53011040508,53011040508,"Census Tract 405.08, Clark County, Washington",5021,305,3353,304,3353,304,3056,255,297,158,0,17,1668,216
1400000US53011040509,53011040509,"Census Tract 405.09, Clark County, Washington",2430,195,1505,210,1505,210,1192,192,313,144,0,12,925,179
1400000US53011040510,53011040510,"Census Tract 405.10, Clark County, Washington",4160,304,2487,303,2469,303,2236,282,233,104,18,29,1673,200
1400000US53011040511,53011040511,"Census Tract 405.11, Clark County, Washington",1666,111,995,121,995,121,931,151,64,73,0,12,671,104
1400000US53011040603,53011040603,"Census Tract 406.03, Clark County, Washington",3953,296,2379,201,2379,201,2124,201,255,94,0,12,1574,215
1400000US53011040604,53011040604,"Census Tract 406.04, Clark County, Washington",4463,298,2967,231,2967,231,2642,236,325,110,0,17,1496,195
1400000US53011040605,53011040605,"Census Tract 406.05, Clark County, Washington",3841,294,2395,295,2395,295,2129,244,266,115,0,12,1446,166
1400000US53011040608,53011040608,"Census Tract 406.08, Clark County, Washington",2967,225,1844,211,1844,211,1769,191,75,58,0,12,1123,172
1400000US53011040609,53011040609,"Census Tract 406.09, Clark County, Washington",3341,232,2363,198,2349,197,2257,188,92,53,14,24,978,219
1400000US53011040610,53011040610,"Census Tract 406.10, Clark County, Washington",2555,130,1760,135,1760,135,1663,129,97,57,0,12,795,133
1400000US53011040703,53011040703,"Census Tract 407.03, Clark County, Washington",5021,314,3384,318,3362,308,2906,282,456,174,22,35,1637,226
1400000US53011040706,53011040706,"Census Tract 407.06, Clark County, Washington",2647,227,1765,226,1765,226,1637,197,128,72,0,12,882,166
1400000US53011040707,53011040707,"Census Tract 407.07, Clark County, Washington",2449,193,1732,210,1719,212,1540,234,179,96,13,19,717,124
1400000US53011040709,53011040709,"Census Tract 407.09, Clark County, Washington",3136,276,2143,246,2143,246,1999,245,144,68,0,12,993,166
1400000US53011040710,53011040710,"Census Tract 407.10, Clark County, Washington",3991,375,2396,286,2382,289,2191,276,191,99,14,23,1595,253
1400000US53011040711,53011040711,"Census Tract 407.11, Clark County, Washington",2407,160,1844,195,1844,195,1666,204,178,88,0,12,563,148
1400000US53011040712,53011040712,"Census Tract 407.12, Clark County, Washington",4002,260,2900,224,2889,225,2481,199,408,127,11,18,1102,145
1400000US53011040803,53011040803,"Census Tract 408.03, Clark County, Washington",4274,232,2973,272,2961,272,2585,244,376,164,12,19,1301,175
1400000US53011040805,53011040805,"Census Tract 408.05, Clark County, Washington",4491,273,3041,320,3041,320,2810,348,231,119,0,17,1450,213
1400000US53011040806,53011040806,"Census Tract 408.06, Clark County, Washington",4005,301,2549,170,2549,170,2330,150,219,87,0,17,1456,276
1400000US53011040808,53011040808,"Census Tract 408.08, Clark County, Washington",1239,147,828,114,828,114,776,118,52,42,0,12,411,126
1400000US53011040809,53011040809,"Census Tract 408.09, Clark County, Washington",4309,302,3023,284,3023,284,2833,314,190,109,0,17,1286,234
1400000US53011040810,53011040810,"Census Tract 408.10, Clark County, Washington",2102,165,1390,139,1390,139,1226,170,164,77,0,12,712,142
1400000US53011040904,53011040904,"Census Tract 409.04, Clark County, Washington",5147,457,3085,308,3085,308,2576,324,509,192,0,17,2062,413
1400000US53011040905,53011040905,"Census Tract 409.05, Clark County, Washington",2501,259,1453,212,1453,212,1331,214,122,68,0,12,1048,139
1400000US53011040907,53011040907,"Census Tract 409.07, Clark County, Washington",3620,179,2314,159,2302,160,2215,166,87,50,12,16,1306,170
1400000US53011040908,53011040908,"Census Tract 409.08, Clark County, Washington",4919,299,3197,248,3176,246,2837,266,339,110,21,30,1722,239
1400000US53011040909,53011040909,"Census Tract 409.09, Clark County, Washington",4361,402,2894,359,2894,359,2474,321,420,180,0,17,1467,295
1400000US53011040910,53011040910,"Census Tract 409.10, Clark County, Washington",3061,204,2008,215,1976,214,1883,196,93,66,32,54,1053,182
1400000US53011041003,53011041003,"Census Tract 410.03, Clark County, Washington",3144,222,2205,208,2205,208,2074,210,131,59,0,12,939,157
1400000US53011041005,53011041005,"Census Tract 410.05, Clark County, Washington",1894,221,1193,206,1193,206,920,117,273,143,0,12,701,123
1400000US53011041007,53011041007,"Census Tract 410.07, Clark County, Washington",2619,221,1773,199,1749,207,1464,148,285,113,24,30,846,139
1400000US53011041008,53011041008,"Census Tract 410.08, Clark County, Washington",3099,144,1993,177,1993,177,1830,163,163,74,0,12,1106,127
1400000US53011041009,53011041009,"Census Tract 410.09, Clark County, Washington",3155,213,1741,195,1741,195,1559,207,182,104,0,12,1414,248
1400000US53011041010,53011041010,"Census Tract 410.10, Clark County, Washington",3110,317,1858,302,1858,302,1692,309,166,73,0,12,1252,225
1400000US53011041011,53011041011,"Census Tract 410.11, Clark County, Washington",2395,167,1651,187,1643,188,1560,197,83,55,8,13,744,138
1400000US53011041104,53011041104,"Census Tract 411.04, Clark County, Washington",3024,311,2121,273,2121,273,1730,272,391,144,0,12,903,202
1400000US53011041105,53011041105,"Census Tract 411.05, Clark County, Washington",4148,318,2547,209,2547,209,2382,207,165,74,0,17,1601,284
1400000US53011041107,53011041107,"Census Tract 411.07, Clark County, Washington",1961,157,1123,123,1123,123,1015,128,108,54,0,12,838,122
1400000US53011041108,53011041108,"Census Tract 411.08, Clark County, Washington",5533,409,3179,446,3179,446,2674,408,505,193,0,17,2354,334
1400000US53011041110,53011041110,"Census Tract 411.10, Clark County, Washington",4487,383,3366,335,3366,335,2978,321,388,177,0,17,1121,268
1400000US53011041111,53011041111,"Census Tract 411.11, Clark County, Washington",2354,251,1819,230,1819,230,1490,208,329,168,0,12,535,247
1400000US53011041112,53011041112,"Census Tract 411.12, Clark County, Washington",4242,407,2678,452,2678,452,2425,388,253,183,0,17,1564,286
1400000US53011041201,53011041201,"Census Tract 412.01, Clark County, Washington",5394,476,3321,418,3321,418,2936,329,385,178,0,17,2073,288
1400000US53011041203,53011041203,"Census Tract 412.03, Clark County, Washington",3889,294,2547,224,2536,222,2262,208,274,109,11,19,1342,206
1400000US53011041205,53011041205,"Census Tract 412.05, Clark County, Washington",4010,380,2402,320,2402,320,2002,327,400,239,0,12,1608,252
1400000US53011041206,53011041206,"Census Tract 412.06, Clark County, Washington",3898,292,2725,237,2707,242,2333,291,374,154,18,31,1173,203
1400000US53011041309,53011041309,"Census Tract 413.09, Clark County, Washington",4135,223,2725,219,2725,219,2320,212,405,134,0,17,1410,168
1400000US53011041310,53011041310,"Census Tract 413.10, Clark County, Washington",4147,350,1779,261,1779,261,1589,244,190,86,0,12,2368,263
1400000US53011041312,53011041312,"Census Tract 413.12, Clark County, Washington",3307,300,1984,270,1984,270,1687,266,297,130,0,12,1323,223
1400000US53011041313,53011041313,"Census Tract 413.13, Clark County, Washington",1853,268,1336,242,1336,242,1158,211,178,108,0,12,517,156
1400000US53011041317,53011041317,"Census Tract 413.17, Clark County, Washington",3314,267,2131,220,2131,220,1899,207,232,103,0,12,1183,209
1400000US53011041318,53011041318,"Census Tract 413.18, Clark County, Washington",3702,266,2384,280,2384,280,2229,270,155,77,0,12,1318,172
1400000US53011041319,53011041319,"Census Tract 413.19, Clark County, Washington",4487,338,2618,365,2618,365,2314,354,304,164,0,17,1869,257
1400000US53011041320,53011041320,"Census Tract 413.20, Clark County, Washington",5208,328,3709,376,3709,376,3388,352,321,163,0,17,1499,346
1400000US53011041321,53011041321,"Census Tract 413.21, Clark County, Washington",2284,156,1516,164,1516,164,1354,146,162,62,0,12,768,99
1400000US53011041322,53011041322,"Census Tract 413.22, Clark County, Washington",3608,328,2466,300,2452,305,2201,281,251,99,14,22,1142,203
