GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US47157000100,47157000100,"Census Tract 1, Shelby County, Tennessee",49698,7941
1400000US47157000200,47157000200,"Census Tract 2, Shelby County, Tennessee",10237,2465
1400000US47157000300,47157000300,"Census Tract 3, Shelby County, Tennessee",12482,3097
1400000US47157000400,47157000400,"Census Tract 4, Shelby County, Tennessee",11042,2319
1400000US47157000600,47157000600,"Census Tract 6, Shelby County, Tennessee",10934,2737
1400000US47157000700,47157000700,"Census Tract 7, Shelby County, Tennessee",14135,2444
1400000US47157000800,47157000800,"Census Tract 8, Shelby County, Tennessee",8181,1324
1400000US47157000900,47157000900,"Census Tract 9, Shelby County, Tennessee",10293,1511
1400000US47157001100,47157001100,"Census Tract 11, Shelby County, Tennessee",12557,1987
1400000US47157001200,47157001200,"Census Tract 12, Shelby County, Tennessee",19716,4105
1400000US47157001300,47157001300,"Census Tract 13, Shelby County, Tennessee",12910,4587
1400000US47157001400,47157001400,"Census Tract 14, Shelby County, Tennessee",10996,1967
1400000US47157001500,47157001500,"Census Tract 15, Shelby County, Tennessee",14158,2281
1400000US47157001600,47157001600,"Census Tract 16, Shelby County, Tennessee",36069,7438
1400000US47157001700,47157001700,"Census Tract 17, Shelby County, Tennessee",26388,3177
1400000US47157001900,47157001900,"Census Tract 19, Shelby County, Tennessee",9934,1621
1400000US47157002000,47157002000,"Census Tract 20, Shelby County, Tennessee",12182,2549
1400000US47157002100,47157002100,"Census Tract 21, Shelby County, Tennessee",14827,4237
1400000US47157002400,47157002400,"Census Tract 24, Shelby County, Tennessee",10705,2290
1400000US47157002500,47157002500,"Census Tract 25, Shelby County, Tennessee",21424,4654
1400000US47157002600,47157002600,"Census Tract 26, Shelby County, Tennessee",43510,5919
1400000US47157002700,47157002700,"Census Tract 27, Shelby County, Tennessee",15412,3683
1400000US47157002800,47157002800,"Census Tract 28, Shelby County, Tennessee",13841,2709
1400000US47157002900,47157002900,"Census Tract 29, Shelby County, Tennessee",41542,5714
1400000US47157003000,47157003000,"Census Tract 30, Shelby County, Tennessee",24183,3513
1400000US47157003100,47157003100,"Census Tract 31, Shelby County, Tennessee",41710,5880
1400000US47157003200,47157003200,"Census Tract 32, Shelby County, Tennessee",25307,3461
1400000US47157003300,47157003300,"Census Tract 33, Shelby County, Tennessee",41018,5780
1400000US47157003400,47157003400,"Census Tract 34, Shelby County, Tennessee",34180,5025
1400000US47157003500,47157003500,"Census Tract 35, Shelby County, Tennessee",45655,6275
1400000US47157003600,47157003600,"Census Tract 36, Shelby County, Tennessee",24253,8063
1400000US47157003700,47157003700,"Census Tract 37, Shelby County, Tennessee",16390,3935
1400000US47157003800,47157003800,"Census Tract 38, Shelby County, Tennessee",17796,2604
1400000US47157003900,47157003900,"Census Tract 39, Shelby County, Tennessee",13057,2700
1400000US47157004200,47157004200,"Census Tract 42, Shelby County, Tennessee",60642,10770
1400000US47157004300,47157004300,"Census Tract 43, Shelby County, Tennessee",71233,15155
1400000US47157004500,47157004500,"Census Tract 45, Shelby County, Tennessee",7698,1629
1400000US47157004600,47157004600,"Census Tract 46, Shelby County, Tennessee",15130,2850
1400000US47157005000,47157005000,"Census Tract 50, Shelby County, Tennessee",8768,2378
1400000US47157005300,47157005300,"Census Tract 53, Shelby County, Tennessee",11304,1746
1400000US47157005500,47157005500,"Census Tract 55, Shelby County, Tennessee",10642,2593
1400000US47157005600,47157005600,"Census Tract 56, Shelby County, Tennessee",16278,2587
1400000US47157005700,47157005700,"Census Tract 57, Shelby County, Tennessee",13937,2387
1400000US47157005800,47157005800,"Census Tract 58, Shelby County, Tennessee",9024,3269
1400000US47157005900,47157005900,"Census Tract 59, Shelby County, Tennessee",11731,2397
1400000US47157006000,47157006000,"Census Tract 60, Shelby County, Tennessee",14619,3738
1400000US47157006200,47157006200,"Census Tract 62, Shelby County, Tennessee",14041,2291
1400000US47157006300,47157006300,"Census Tract 63, Shelby County, Tennessee",38737,8572
1400000US47157006400,47157006400,"Census Tract 64, Shelby County, Tennessee",18412,5700
1400000US47157006500,47157006500,"Census Tract 65, Shelby County, Tennessee",16153,4006
1400000US47157006600,47157006600,"Census Tract 66, Shelby County, Tennessee",25425,4529
1400000US47157006700,47157006700,"Census Tract 67, Shelby County, Tennessee",9834,1863
