GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1400000US47157020300,47157020300,"Census Tract 203, Shelby County, Tennessee",337,294,204,194,49,77,83,75,0,17,0,17,0,17,56,75,0,17,0,17,0,17,0,17,16,26,0,17,0,17,0,17,133,127,33,51,0,17,12,19,0,17,0,17,33,50,55,88,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US47157020400,47157020400,"Census Tract 204, Shelby County, Tennessee",185,132,143,104,33,49,0,12,24,34,0,12,14,14,18,32,33,38,9,13,4,6,8,11,0,12,0,12,0,12,0,12,42,34,0,12,4,6,3,6,0,12,0,12,0,12,18,27,9,13,3,5,5,7,0,12,0,12,0,12,0,12
1400000US47157020511,47157020511,"Census Tract 205.11, Shelby County, Tennessee",74,84,57,74,27,43,0,12,0,12,0,12,0,12,19,31,0,12,0,12,5,8,6,10,0,12,0,12,0,12,0,12,17,27,0,12,0,12,5,9,6,10,0,12,0,12,0,12,6,9,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157020512,47157020512,"Census Tract 205.12, Shelby County, Tennessee",109,94,28,32,0,17,0,17,15,25,0,17,0,17,0,17,0,17,13,21,0,17,0,17,0,17,0,17,0,17,0,17,81,75,24,37,0,17,0,17,0,17,0,17,12,19,0,17,0,17,0,17,0,17,0,17,0,17,26,45,19,30
1400000US47157020521,47157020521,"Census Tract 205.21, Shelby County, Tennessee",107,110,48,70,0,12,0,12,22,32,15,22,0,12,0,12,0,12,0,12,11,17,0,12,0,12,0,12,0,12,0,12,59,77,16,25,16,25,0,12,0,12,0,12,0,12,0,12,17,27,10,15,0,12,0,12,0,12,0,12,0,12
1400000US47157020523,47157020523,"Census Tract 205.23, Shelby County, Tennessee",157,157,130,140,0,12,27,42,0,12,0,12,0,12,87,133,16,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,42,0,12,0,12,0,12,0,12,0,12,27,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157020524,47157020524,"Census Tract 205.24, Shelby County, Tennessee",242,225,128,126,0,12,20,31,36,41,0,12,0,12,26,41,0,12,23,37,23,38,0,12,0,12,0,12,0,12,0,12,114,107,15,24,21,34,17,29,15,24,0,12,0,12,0,12,0,12,33,39,0,12,0,12,0,12,13,22,0,12
1400000US47157020531,47157020531,"Census Tract 205.31, Shelby County, Tennessee",1221,632,534,309,108,147,0,17,28,41,41,66,10,17,0,17,0,17,52,84,150,92,145,107,0,17,0,17,0,17,0,17,687,335,80,100,180,116,0,17,118,92,30,48,22,36,26,43,7,12,142,92,82,66,0,17,0,17,0,17,0,17
1400000US47157020532,47157020532,"Census Tract 205.32, Shelby County, Tennessee",217,225,96,113,6,16,4,10,4,10,13,36,0,17,0,17,26,43,16,36,0,17,27,32,0,17,0,17,0,17,0,17,121,140,0,17,4,10,26,57,4,9,0,17,68,98,3,9,0,17,10,24,6,14,0,17,0,17,0,17,0,17
1400000US47157020541,47157020541,"Census Tract 205.41, Shelby County, Tennessee",82,71,57,65,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,36,35,56,0,17,0,17,0,17,25,28,0,17,0,17,0,17,0,17,0,17,14,23,0,17,0,17,0,17,0,17,0,17,11,17,0,17,0,17
1400000US47157020542,47157020542,"Census Tract 205.42, Shelby County, Tennessee",128,197,88,163,0,17,0,17,0,17,0,17,0,17,61,114,0,17,0,17,0,17,0,17,27,49,0,17,0,17,0,17,40,50,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,28,0,17,25,40,0,17,0,17
1400000US47157020610,47157020610,"Census Tract 206.10, Shelby County, Tennessee",199,154,89,75,0,12,0,12,18,28,0,12,0,12,0,12,31,48,20,31,20,32,0,12,0,12,0,12,0,12,0,12,110,84,21,33,0,12,19,29,0,12,0,12,21,33,11,18,20,31,18,30,0,12,0,12,0,12,0,12,0,12
1400000US47157020621,47157020621,"Census Tract 206.21, Shelby County, Tennessee",392,389,215,205,13,22,144,188,0,17,0,17,0,17,0,17,0,17,0,17,21,32,0,17,12,19,25,38,0,17,0,17,177,186,65,100,0,17,0,17,7,14,0,17,0,17,53,77,23,35,0,17,6,11,23,37,0,17,0,17,0,17
1400000US47157020622,47157020622,"Census Tract 206.22, Shelby County, Tennessee",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157020632,47157020632,"Census Tract 206.32, Shelby County, Tennessee",131,129,79,80,26,40,10,15,18,30,0,17,5,10,0,17,0,17,10,15,10,15,0,17,0,17,0,17,0,17,0,17,52,55,9,13,27,31,0,17,0,17,0,17,0,17,7,11,0,17,9,14,0,17,0,17,0,17,0,17,0,17
1400000US47157020633,47157020633,"Census Tract 206.33, Shelby County, Tennessee",33,52,12,20,0,12,9,16,0,12,0,12,0,12,3,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,34,10,17,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157020634,47157020634,"Census Tract 206.34, Shelby County, Tennessee",74,67,32,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,25,15,27,0,12,0,12,0,12,42,42,0,12,0,12,0,12,0,12,0,12,11,17,0,12,0,12,0,12,4,9,27,32,0,12,0,12,0,12
1400000US47157020635,47157020635,"Census Tract 206.35, Shelby County, Tennessee",104,89,40,52,0,12,11,17,12,17,0,12,0,12,0,12,12,18,0,12,0,12,5,8,0,12,0,12,0,12,0,12,64,46,3,7,12,19,33,35,0,12,0,12,0,12,0,12,12,19,4,7,0,12,0,12,0,12,0,12,0,12
1400000US47157020642,47157020642,"Census Tract 206.42, Shelby County, Tennessee",89,79,55,64,17,26,11,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,15,18,29,0,17,0,17,0,17,34,45,0,17,0,17,0,17,4,6,0,17,0,17,0,17,0,17,0,17,30,45,0,17,0,17,0,17,0,17
1400000US47157020643,47157020643,"Census Tract 206.43, Shelby County, Tennessee",355,197,138,119,0,17,19,31,53,59,0,17,0,17,0,17,0,17,0,17,0,17,46,46,20,34,0,17,0,17,0,17,217,119,0,17,74,78,0,17,13,24,19,30,0,17,0,17,34,38,28,31,29,46,20,34,0,17,0,17,0,17
1400000US47157020644,47157020644,"Census Tract 206.44, Shelby County, Tennessee",945,489,510,272,0,17,0,17,175,160,0,17,0,17,110,136,0,17,102,94,90,90,33,40,0,17,0,17,0,17,0,17,435,226,48,43,0,17,127,104,0,17,0,17,73,75,25,37,61,83,53,66,48,51,0,17,0,17,0,17,0,17
1400000US47157020651,47157020651,"Census Tract 206.51, Shelby County, Tennessee",482,477,337,350,0,17,65,99,83,115,52,75,0,17,0,17,0,17,0,17,84,116,32,46,0,17,0,17,21,34,0,17,145,136,0,17,0,17,19,31,0,17,0,17,0,17,0,17,0,17,17,28,89,98,0,17,20,32,0,17,0,17
1400000US47157020652,47157020652,"Census Tract 206.52, Shelby County, Tennessee",151,180,72,86,31,46,0,17,0,17,0,17,0,17,21,32,0,17,0,17,20,31,0,17,0,17,0,17,0,17,0,17,79,98,41,62,0,17,0,17,0,17,0,17,0,17,0,17,22,33,0,17,0,17,0,17,0,17,16,30,0,17
1400000US47157020700,47157020700,"Census Tract 207, Shelby County, Tennessee",4,6,4,6,0,12,0,12,4,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157020810,47157020810,"Census Tract 208.10, Shelby County, Tennessee",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157020820,47157020820,"Census Tract 208.20, Shelby County, Tennessee",181,135,111,101,0,17,16,26,16,26,36,45,25,40,0,17,0,17,0,17,0,17,18,24,0,17,0,17,0,17,0,17,70,52,0,17,0,17,6,13,0,17,0,17,0,17,0,17,0,17,27,32,37,36,0,17,0,17,0,17,0,17
1400000US47157020831,47157020831,"Census Tract 208.31, Shelby County, Tennessee",41,46,14,23,0,12,0,12,0,12,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,14,0,12,0,12,0,12,17,28
1400000US47157020832,47157020832,"Census Tract 208.32, Shelby County, Tennessee",295,181,100,91,0,17,26,25,8,14,0,17,29,48,0,17,0,17,20,32,0,17,0,17,17,27,0,17,0,17,0,17,195,107,0,17,35,34,29,33,0,17,7,14,0,17,15,25,0,17,37,34,39,37,0,17,0,17,33,54,0,17
1400000US47157020900,47157020900,"Census Tract 209, Shelby County, Tennessee",130,97,49,41,0,17,9,14,0,17,0,17,0,17,0,17,0,17,11,16,29,28,0,17,0,17,0,17,0,17,0,17,81,68,17,20,8,13,9,14,0,17,0,17,0,17,8,12,11,17,7,12,0,17,21,33,0,17,0,17,0,17
1400000US47157021010,47157021010,"Census Tract 210.10, Shelby County, Tennessee",1652,918,523,318,42,73,32,40,112,163,25,43,0,19,65,110,0,19,32,53,102,102,46,57,0,19,67,100,0,19,0,19,1129,750,184,207,188,209,18,33,112,130,0,19,0,19,269,191,30,52,260,234,13,24,0,19,55,80,0,19,0,19
1400000US47157021020,47157021020,"Census Tract 210.20, Shelby County, Tennessee",366,277,182,124,17,29,15,23,0,17,0,17,0,17,0,17,106,109,0,17,44,55,0,17,0,17,0,17,0,17,0,17,184,164,11,20,60,77,0,17,0,17,0,17,0,17,60,64,14,21,13,21,0,17,26,38,0,17,0,17,0,17
1400000US47157021111,47157021111,"Census Tract 211.11, Shelby County, Tennessee",788,350,551,276,89,105,84,48,13,18,6,14,6,16,37,56,85,94,64,66,115,103,43,30,9,17,0,12,0,12,0,12,237,104,36,41,38,23,0,12,0,12,0,12,7,15,15,24,94,78,44,39,3,8,0,12,0,12,0,12,0,12
1400000US47157021112,47157021112,"Census Tract 211.12, Shelby County, Tennessee",1333,424,709,251,0,17,78,91,0,17,66,62,32,51,82,92,59,58,21,42,313,234,39,34,19,31,0,17,0,17,0,17,624,306,112,97,203,117,22,34,42,42,27,32,31,45,56,51,57,92,41,42,33,35,0,17,0,17,0,17,0,17
1400000US47157021113,47157021113,"Census Tract 211.13, Shelby County, Tennessee",246,64,151,31,0,12,31,39,31,39,0,12,0,12,17,29,35,63,10,16,16,27,0,12,11,19,0,12,0,12,0,12,95,56,0,12,0,12,0,12,0,12,10,18,10,19,0,12,0,12,42,33,15,18,18,27,0,12,0,12,0,12
1400000US47157021121,47157021121,"Census Tract 211.21, Shelby County, Tennessee",47,50,35,49,11,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,20,14,24,0,12,0,12,0,12,0,12,12,20,0,12,0,12,0,12,0,12,0,12,0,12,12,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157021122,47157021122,"Census Tract 211.22, Shelby County, Tennessee",203,163,131,123,100,109,0,17,9,17,0,17,0,17,0,17,0,17,0,17,22,28,0,17,0,17,0,17,0,17,0,17,72,60,12,20,22,30,0,17,10,18,0,17,0,17,10,17,0,17,9,16,9,15,0,17,0,17,0,17,0,17
1400000US47157021124,47157021124,"Census Tract 211.24, Shelby County, Tennessee",1217,655,643,304,92,64,0,17,25,31,35,52,44,46,34,52,56,84,188,177,122,118,47,47,0,17,0,17,0,17,0,17,574,363,14,25,88,69,41,42,0,17,0,17,23,34,126,124,134,167,46,44,102,87,0,17,0,17,0,17,0,17
1400000US47157021125,47157021125,"Census Tract 211.25, Shelby County, Tennessee",220,155,159,138,14,23,0,12,9,16,0,12,13,22,71,111,0,12,10,16,9,15,31,39,2,7,0,12,0,12,0,12,61,44,0,12,0,12,0,12,0,12,0,12,24,28,9,14,0,12,0,12,14,16,14,21,0,12,0,12,0,12
