GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US47157003900,47157003900,"Census Tract 39, Shelby County, Tennessee",1335,164,195,128,1076,167,17,27,31,26,0,12,6,11,10,16,10,16,0,12
1400000US47157004200,47157004200,"Census Tract 42, Shelby County, Tennessee",2431,208,1739,171,485,111,36,56,109,59,0,12,9,13,53,35,0,12,53,35
1400000US47157004300,47157004300,"Census Tract 43, Shelby County, Tennessee",1421,170,954,139,350,132,5,8,90,59,0,12,17,29,5,7,0,12,5,7
1400000US47157004500,47157004500,"Census Tract 45, Shelby County, Tennessee",565,136,30,27,525,140,4,7,0,12,0,12,6,15,0,12,0,12,0,12
1400000US47157004600,47157004600,"Census Tract 46, Shelby County, Tennessee",1341,179,185,101,1119,193,0,12,0,12,0,12,0,12,37,26,0,12,37,26
1400000US47157005000,47157005000,"Census Tract 50, Shelby County, Tennessee",1103,215,11,18,1074,213,0,12,0,12,0,12,0,12,18,31,0,12,18,31
1400000US47157005300,47157005300,"Census Tract 53, Shelby County, Tennessee",3582,394,33,30,3549,390,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157005500,47157005500,"Census Tract 55, Shelby County, Tennessee",2168,379,53,53,2089,377,8,12,0,12,0,12,9,14,9,15,0,12,9,15
1400000US47157005600,47157005600,"Census Tract 56, Shelby County, Tennessee",3746,428,0,12,3698,414,0,12,0,12,0,12,0,12,48,74,0,12,48,74
1400000US47157005700,47157005700,"Census Tract 57, Shelby County, Tennessee",2098,419,29,41,2053,424,0,12,13,17,0,12,0,12,3,6,0,12,3,6
1400000US47157005800,47157005800,"Census Tract 58, Shelby County, Tennessee",1136,312,0,12,1136,312,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157005900,47157005900,"Census Tract 59, Shelby County, Tennessee",2489,630,19,28,2379,620,0,12,12,19,0,12,33,38,46,42,18,27,28,32
1400000US47157006000,47157006000,"Census Tract 60, Shelby County, Tennessee",2182,338,19,22,2118,339,0,12,8,13,0,12,9,15,28,28,7,10,21,21
1400000US47157006200,47157006200,"Census Tract 62, Shelby County, Tennessee",2273,305,110,84,2153,309,0,12,0,12,0,12,0,12,10,15,0,12,10,15
1400000US47157006300,47157006300,"Census Tract 63, Shelby County, Tennessee",2309,258,1820,241,468,204,0,12,0,12,0,12,0,12,21,28,0,12,21,28
1400000US47157006400,47157006400,"Census Tract 64, Shelby County, Tennessee",1679,302,96,94,1471,283,0,12,16,28,0,12,0,12,96,89,35,56,61,71
1400000US47157006500,47157006500,"Census Tract 65, Shelby County, Tennessee",2927,390,87,126,2834,372,6,10,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157006600,47157006600,"Census Tract 66, Shelby County, Tennessee",2158,250,1184,189,864,179,48,71,36,33,0,12,0,12,26,26,0,12,26,26
1400000US47157006700,47157006700,"Census Tract 67, Shelby County, Tennessee",3182,600,48,41,3134,597,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157006800,47157006800,"Census Tract 68, Shelby County, Tennessee",2632,461,58,75,2507,446,0,12,0,12,0,12,0,12,67,107,0,12,67,107
1400000US47157006900,47157006900,"Census Tract 69, Shelby County, Tennessee",3100,302,121,149,2945,277,0,12,0,12,0,12,0,12,34,45,0,12,34,45
1400000US47157007000,47157007000,"Census Tract 70, Shelby County, Tennessee",3518,311,940,319,2346,358,16,24,22,34,0,12,6,10,188,168,20,31,168,166
1400000US47157007100,47157007100,"Census Tract 71, Shelby County, Tennessee",2321,287,1747,201,496,240,0,12,14,18,0,12,0,12,64,59,0,12,64,59
1400000US47157007200,47157007200,"Census Tract 72, Shelby County, Tennessee",2526,221,2231,247,126,74,0,12,83,96,0,12,0,12,86,65,7,12,79,64
1400000US47157007300,47157007300,"Census Tract 73, Shelby County, Tennessee",4936,790,2814,497,1747,401,7,14,295,137,0,12,28,34,45,64,0,12,45,64
1400000US47157007400,47157007400,"Census Tract 74, Shelby County, Tennessee",2992,346,1991,270,471,184,0,12,410,231,0,12,32,43,88,78,0,12,88,78
1400000US47157007500,47157007500,"Census Tract 75, Shelby County, Tennessee",1203,227,25,34,1178,236,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47157007810,47157007810,"Census Tract 78.10, Shelby County, Tennessee",2646,423,119,158,2454,400,0,12,0,12,0,12,19,30,54,91,54,91,0,12
1400000US47157007821,47157007821,"Census Tract 78.21, Shelby County, Tennessee",5986,675,49,61,5918,691,0,17,0,17,0,17,0,17,19,31,0,17,19,31
1400000US47157007822,47157007822,"Census Tract 78.22, Shelby County, Tennessee",1756,286,63,52,1383,197,0,12,0,12,0,12,298,276,12,19,0,12,12,19
1400000US47157007900,47157007900,"Census Tract 79, Shelby County, Tennessee",6017,664,109,115,5864,702,7,12,0,17,0,17,0,17,37,49,0,17,37,49
1400000US47157008000,47157008000,"Census Tract 80, Shelby County, Tennessee",5472,614,1274,310,4001,634,0,17,40,47,0,17,22,37,135,100,20,33,115,94
1400000US47157008110,47157008110,"Census Tract 81.10, Shelby County, Tennessee",2983,447,311,193,2240,423,103,166,0,12,0,12,220,191,109,136,0,12,109,136
1400000US47157008120,47157008120,"Census Tract 81.20, Shelby County, Tennessee",4591,568,229,128,4334,564,0,12,0,12,0,12,0,12,28,30,0,12,28,30
1400000US47157008200,47157008200,"Census Tract 82, Shelby County, Tennessee",5539,702,510,244,3570,646,347,266,0,17,0,17,1023,621,89,86,20,34,69,71
1400000US47157008500,47157008500,"Census Tract 85, Shelby County, Tennessee",4686,256,4473,290,74,60,0,12,134,108,0,12,5,9,0,12,0,12,0,12
1400000US47157008600,47157008600,"Census Tract 86, Shelby County, Tennessee",5748,511,4722,370,646,241,0,17,27,30,0,17,157,156,196,219,0,17,196,219
1400000US47157008700,47157008700,"Census Tract 87, Shelby County, Tennessee",3951,523,2839,395,314,138,0,12,107,119,72,96,460,411,159,144,17,24,142,143
1400000US47157008800,47157008800,"Census Tract 88, Shelby County, Tennessee",6931,926,4746,883,920,265,0,17,172,196,0,17,1035,619,58,75,0,17,58,75
1400000US47157008900,47157008900,"Census Tract 89, Shelby County, Tennessee",3972,652,1873,672,1223,308,0,12,212,210,0,12,651,351,13,23,0,12,13,23
1400000US47157009100,47157009100,"Census Tract 91, Shelby County, Tennessee",2626,378,2215,370,32,39,0,12,70,109,0,12,309,181,0,12,0,12,0,12
1400000US47157009200,47157009200,"Census Tract 92, Shelby County, Tennessee",7507,606,6701,572,143,153,0,17,519,133,37,54,0,17,107,104,49,82,58,68
1400000US47157009300,47157009300,"Census Tract 93, Shelby County, Tennessee",4636,648,3451,439,913,619,19,30,89,80,0,12,137,188,27,27,8,16,19,22
1400000US47157009400,47157009400,"Census Tract 94, Shelby County, Tennessee",3512,322,3213,301,253,158,4,7,0,12,0,12,0,12,42,42,0,12,42,42
1400000US47157009500,47157009500,"Census Tract 95, Shelby County, Tennessee",6051,524,5355,529,601,340,8,12,36,33,0,17,0,17,51,70,0,17,51,70
1400000US47157009600,47157009600,"Census Tract 96, Shelby County, Tennessee",5056,302,4928,314,59,50,0,17,47,48,0,17,0,17,22,33,0,17,22,33
1400000US47157009700,47157009700,"Census Tract 97, Shelby County, Tennessee",2948,542,1005,246,1401,407,0,12,23,25,0,12,128,143,391,475,258,396,133,105
1400000US47157009800,47157009800,"Census Tract 98, Shelby County, Tennessee",3551,389,2663,334,588,239,0,12,80,55,26,41,194,231,0,12,0,12,0,12
1400000US47157009901,47157009901,"Census Tract 99.01, Shelby County, Tennessee",3953,685,1475,521,1792,552,22,30,150,180,0,12,418,448,96,99,0,12,96,99
1400000US47157009902,47157009902,"Census Tract 99.02, Shelby County, Tennessee",2794,368,296,146,2351,393,0,12,0,12,0,12,53,90,94,70,0,12,94,70
