GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US48029121204,48029121204,"Census Tract 1212.04, Bexar County, Texas",7185,490,5249,438,1457,306,89,82,50,71,0,18,221,166,119,108,0,18,119,108
1400000US48029121205,48029121205,"Census Tract 1212.05, Bexar County, Texas",4197,404,3097,426,663,326,12,19,52,45,0,13,236,242,137,93,9,14,128,93
1400000US48029121206,48029121206,"Census Tract 1212.06, Bexar County, Texas",8175,619,7306,751,389,194,61,47,127,131,0,18,292,198,0,18,0,18,0,18
1400000US48029121300,48029121300,"Census Tract 1213, Bexar County, Texas",6128,423,4826,477,909,209,30,48,57,69,0,18,256,301,50,74,0,18,50,74
1400000US48029121402,48029121402,"Census Tract 1214.02, Bexar County, Texas",5885,409,3671,419,1098,297,10,17,266,160,0,18,566,222,274,152,73,103,201,126
1400000US48029121403,48029121403,"Census Tract 1214.03, Bexar County, Texas",5446,581,3020,555,1406,262,13,21,393,133,0,18,372,298,242,134,6,10,236,133
1400000US48029121404,48029121404,"Census Tract 1214.04, Bexar County, Texas",4574,514,2606,499,1215,348,0,13,81,64,0,13,447,246,225,186,8,12,217,186
1400000US48029121501,48029121501,"Census Tract 1215.01, Bexar County, Texas",8005,513,5484,541,1499,438,0,18,139,123,0,18,606,388,277,200,120,124,157,156
1400000US48029121504,48029121504,"Census Tract 1215.04, Bexar County, Texas",7873,586,5605,694,1129,375,33,49,306,182,0,18,333,173,467,277,237,185,230,210
1400000US48029121505,48029121505,"Census Tract 1215.05, Bexar County, Texas",4803,426,3189,491,745,353,26,26,117,78,0,13,493,275,233,141,41,52,192,131
1400000US48029121506,48029121506,"Census Tract 1215.06, Bexar County, Texas",4784,407,3534,389,688,271,136,124,19,21,0,13,276,219,131,71,10,16,121,65
1400000US48029121507,48029121507,"Census Tract 1215.07, Bexar County, Texas",4452,359,2974,378,858,190,3,7,35,33,0,13,313,185,269,153,7,12,262,152
1400000US48029121508,48029121508,"Census Tract 1215.08, Bexar County, Texas",4975,382,2727,475,1404,417,55,61,138,108,0,13,322,229,329,147,7,11,322,147
1400000US48029121601,48029121601,"Census Tract 1216.01, Bexar County, Texas",4899,445,3915,433,424,184,0,13,271,196,0,13,146,139,143,116,0,13,143,116
1400000US48029121604,48029121604,"Census Tract 1216.04, Bexar County, Texas",8096,641,5590,935,1156,312,109,178,89,112,51,81,707,532,394,272,40,47,354,271
1400000US48029121605,48029121605,"Census Tract 1216.05, Bexar County, Texas",2019,254,1680,296,33,126,15,13,15,23,0,13,55,44,221,146,0,13,221,146
1400000US48029121606,48029121606,"Census Tract 1216.06, Bexar County, Texas",5129,434,3496,506,953,437,63,63,192,160,0,18,77,69,348,447,38,62,310,446
1400000US48029121701,48029121701,"Census Tract 1217.01, Bexar County, Texas",3963,457,3354,433,242,119,9,13,25,43,0,13,303,272,30,28,0,13,30,28
1400000US48029121702,48029121702,"Census Tract 1217.02, Bexar County, Texas",7082,704,5748,720,347,195,51,60,97,89,0,18,607,307,232,125,7,21,225,121
1400000US48029121802,48029121802,"Census Tract 1218.02, Bexar County, Texas",8583,540,6544,525,729,280,62,63,302,127,226,295,405,227,315,184,108,97,207,145
1400000US48029121803,48029121803,"Census Tract 1218.03, Bexar County, Texas",4812,371,3681,449,432,203,0,18,61,64,0,18,483,221,155,107,67,82,88,69
1400000US48029121804,48029121804,"Census Tract 1218.04, Bexar County, Texas",7280,864,5308,694,973,458,185,178,97,93,0,18,505,429,212,156,0,18,212,156
1400000US48029121808,48029121808,"Census Tract 1218.08, Bexar County, Texas",3486,207,2798,332,264,186,0,13,131,154,0,13,214,192,79,92,28,48,51,73
1400000US48029121809,48029121809,"Census Tract 1218.09, Bexar County, Texas",5027,420,4375,397,260,119,98,92,41,49,17,26,105,92,131,72,46,44,85,51
1400000US48029121810,48029121810,"Census Tract 1218.10, Bexar County, Texas",4889,380,3953,477,454,253,16,26,184,126,0,13,176,179,106,82,62,71,44,47
1400000US48029121811,48029121811,"Census Tract 1218.11, Bexar County, Texas",4851,266,4211,341,266,173,9,13,203,151,0,13,36,34,126,107,39,70,87,79
1400000US48029121812,48029121812,"Census Tract 1218.12, Bexar County, Texas",6187,672,5283,759,244,186,65,65,81,148,2,4,366,295,146,124,0,18,146,124
