GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
1400000US48029121504,48029121504,"Census Tract 1215.04, Bexar County, Texas",6320,475,4394,363,4377,359,3935,319,442,163,17,31,1926,315
1400000US48029121505,48029121505,"Census Tract 1215.05, Bexar County, Texas",3762,329,2595,313,2547,313,2464,318,83,55,48,51,1167,224
1400000US48029121506,48029121506,"Census Tract 1215.06, Bexar County, Texas",3661,330,2320,302,2308,301,2171,284,137,107,12,19,1341,231
1400000US48029121507,48029121507,"Census Tract 1215.07, Bexar County, Texas",3692,279,2101,227,2087,226,1900,215,187,83,14,15,1591,183
1400000US48029121508,48029121508,"Census Tract 1215.08, Bexar County, Texas",3398,311,1998,215,1983,214,1824,191,159,88,15,22,1400,222
1400000US48029121601,48029121601,"Census Tract 1216.01, Bexar County, Texas",3863,386,2582,335,2504,336,2338,335,166,105,78,69,1281,348
1400000US48029121604,48029121604,"Census Tract 1216.04, Bexar County, Texas",5950,455,4439,479,4181,473,4015,475,166,102,258,153,1511,353
1400000US48029121605,48029121605,"Census Tract 1216.05, Bexar County, Texas",1638,162,911,143,905,144,858,137,47,40,6,10,727,173
1400000US48029121606,48029121606,"Census Tract 1216.06, Bexar County, Texas",4306,369,2897,418,2786,427,2620,394,166,125,111,93,1409,268
1400000US48029121701,48029121701,"Census Tract 1217.01, Bexar County, Texas",3232,337,1903,305,1903,305,1788,281,115,106,0,13,1329,245
1400000US48029121702,48029121702,"Census Tract 1217.02, Bexar County, Texas",5877,548,3985,480,3849,476,3669,517,180,116,136,92,1892,231
1400000US48029121802,48029121802,"Census Tract 1218.02, Bexar County, Texas",6236,334,4402,344,4370,341,4031,368,339,170,32,38,1834,320
1400000US48029121803,48029121803,"Census Tract 1218.03, Bexar County, Texas",3659,257,2627,234,2627,234,2532,239,95,52,0,18,1032,184
1400000US48029121804,48029121804,"Census Tract 1218.04, Bexar County, Texas",5193,600,3771,532,3743,527,3244,457,499,226,28,34,1422,255
1400000US48029121808,48029121808,"Census Tract 1218.08, Bexar County, Texas",2718,210,1851,207,1797,204,1642,208,155,97,54,48,867,169
1400000US48029121809,48029121809,"Census Tract 1218.09, Bexar County, Texas",3901,307,2541,246,2509,244,2388,237,121,88,32,34,1360,223
1400000US48029121810,48029121810,"Census Tract 1218.10, Bexar County, Texas",3412,198,2544,218,2544,218,2407,203,137,77,0,13,868,193
1400000US48029121811,48029121811,"Census Tract 1218.11, Bexar County, Texas",3387,161,2654,179,2617,176,2545,192,72,51,37,32,733,181
1400000US48029121812,48029121812,"Census Tract 1218.12, Bexar County, Texas",4642,501,3627,414,3627,414,3326,380,301,149,0,18,1015,217
1400000US48029121813,48029121813,"Census Tract 1218.13, Bexar County, Texas",1310,135,940,118,911,136,854,142,57,52,29,40,370,79
1400000US48029121903,48029121903,"Census Tract 1219.03, Bexar County, Texas",4102,277,2718,317,2708,319,2609,316,99,56,10,16,1384,235
1400000US48029121904,48029121904,"Census Tract 1219.04, Bexar County, Texas",2289,181,1750,180,1750,180,1658,181,92,96,0,13,539,159
1400000US48029121905,48029121905,"Census Tract 1219.05, Bexar County, Texas",4412,393,2922,288,2793,315,2678,310,115,107,129,96,1490,294
1400000US48029121906,48029121906,"Census Tract 1219.06, Bexar County, Texas",4254,318,3068,346,3052,344,2928,362,124,103,16,26,1186,295
1400000US48029121907,48029121907,"Census Tract 1219.07, Bexar County, Texas",7548,389,5851,458,5640,467,5419,455,221,165,211,99,1697,309
1400000US48029121908,48029121908,"Census Tract 1219.08, Bexar County, Texas",1819,160,1274,132,1226,132,1153,124,73,54,48,40,545,131
1400000US48029121909,48029121909,"Census Tract 1219.09, Bexar County, Texas",4123,470,3029,420,2962,433,2769,395,193,133,67,64,1094,229
1400000US48029121910,48029121910,"Census Tract 1219.10, Bexar County, Texas",3100,209,2338,199,2285,195,2137,213,148,92,53,47,762,138
1400000US48029130200,48029130200,"Census Tract 1302, Bexar County, Texas",1468,224,913,222,913,222,862,223,51,39,0,13,555,91
1400000US48029130300,48029130300,"Census Tract 1303, Bexar County, Texas",2353,258,1459,262,1459,262,1202,218,257,190,0,13,894,229
1400000US48029130401,48029130401,"Census Tract 1304.01, Bexar County, Texas",3002,526,1448,302,1448,302,1279,265,169,98,0,13,1554,347
1400000US48029130402,48029130402,"Census Tract 1304.02, Bexar County, Texas",2975,443,1475,268,1475,268,1347,257,128,76,0,13,1500,284
1400000US48029130500,48029130500,"Census Tract 1305, Bexar County, Texas",2941,342,1622,253,1622,253,1363,221,259,107,0,13,1319,229
1400000US48029130600,48029130600,"Census Tract 1306, Bexar County, Texas",3048,395,1599,271,1599,271,1221,222,378,195,0,18,1449,244
1400000US48029130700,48029130700,"Census Tract 1307, Bexar County, Texas",1588,365,873,156,873,156,829,148,44,34,0,13,715,294
1400000US48029130800,48029130800,"Census Tract 1308, Bexar County, Texas",3909,346,2282,293,2252,294,1935,264,317,147,30,22,1627,245
1400000US48029130900,48029130900,"Census Tract 1309, Bexar County, Texas",3028,319,1649,286,1640,284,1426,257,214,96,9,14,1379,210
1400000US48029131000,48029131000,"Census Tract 1310, Bexar County, Texas",3792,384,2023,217,2023,217,1752,240,271,122,0,13,1769,249
1400000US48029131100,48029131100,"Census Tract 1311, Bexar County, Texas",1927,321,1185,277,1185,277,1030,272,155,77,0,13,742,145
1400000US48029131200,48029131200,"Census Tract 1312, Bexar County, Texas",2205,283,1237,195,1237,195,1152,196,85,52,0,13,968,210
1400000US48029131300,48029131300,"Census Tract 1313, Bexar County, Texas",4779,487,2301,313,2301,313,2116,287,185,121,0,18,2478,543
1400000US48029131401,48029131401,"Census Tract 1314.01, Bexar County, Texas",5431,413,3503,466,3503,466,3407,457,96,72,0,18,1928,305
1400000US48029131402,48029131402,"Census Tract 1314.02, Bexar County, Texas",2078,213,1302,196,1302,196,1149,179,153,69,0,13,776,137
1400000US48029131503,48029131503,"Census Tract 1315.03, Bexar County, Texas",2857,301,1890,262,1761,260,1609,271,152,80,129,168,967,197
1400000US48029131504,48029131504,"Census Tract 1315.04, Bexar County, Texas",2668,307,1828,294,1828,294,1619,242,209,114,0,13,840,168
1400000US48029131505,48029131505,"Census Tract 1315.05, Bexar County, Texas",2904,288,1787,265,1754,270,1519,260,235,143,33,32,1117,180
1400000US48029131506,48029131506,"Census Tract 1315.06, Bexar County, Texas",2156,252,1719,273,1673,277,1537,274,136,64,46,31,437,127
1400000US48029131507,48029131507,"Census Tract 1315.07, Bexar County, Texas",4501,494,3081,476,3081,476,2510,367,571,209,0,18,1420,224
1400000US48029131601,48029131601,"Census Tract 1316.01, Bexar County, Texas",2163,283,1347,175,1312,178,1262,173,50,58,35,46,816,204
1400000US48029131606,48029131606,"Census Tract 1316.06, Bexar County, Texas",3847,348,2633,301,2567,319,2365,308,202,108,66,61,1214,196
1400000US48029131608,48029131608,"Census Tract 1316.08, Bexar County, Texas",3973,347,2597,279,2532,279,2372,259,160,108,65,48,1376,354
1400000US48029131609,48029131609,"Census Tract 1316.09, Bexar County, Texas",6342,786,4442,542,4361,535,4023,509,338,194,81,55,1900,475
1400000US48029131610,48029131610,"Census Tract 1316.10, Bexar County, Texas",3889,334,3078,306,2969,307,2795,309,174,76,109,89,811,211
1400000US48029131611,48029131611,"Census Tract 1316.11, Bexar County, Texas",1012,142,550,129,537,136,502,125,35,30,13,16,462,80
1400000US48029131612,48029131612,"Census Tract 1316.12, Bexar County, Texas",1248,190,984,156,950,157,856,151,94,61,34,46,264,126
1400000US48029131613,48029131613,"Census Tract 1316.13, Bexar County, Texas",3455,249,2204,247,2162,240,2017,238,145,80,42,41,1251,183
1400000US48029131614,48029131614,"Census Tract 1316.14, Bexar County, Texas",2936,440,1865,292,1785,288,1610,288,175,118,80,64,1071,355
1400000US48029131615,48029131615,"Census Tract 1316.15, Bexar County, Texas",5690,577,3935,421,3721,443,3355,506,366,215,214,179,1755,426
1400000US48029131700,48029131700,"Census Tract 1317, Bexar County, Texas",719,129,510,99,238,58,204,48,34,33,272,84,209,56
1400000US48029131801,48029131801,"Census Tract 1318.01, Bexar County, Texas",2006,173,1308,132,1308,132,1252,134,56,29,0,13,698,115
1400000US48029131802,48029131802,"Census Tract 1318.02, Bexar County, Texas",4263,395,2884,362,2874,363,2724,365,150,75,10,16,1379,211
1400000US48029140100,48029140100,"Census Tract 1401, Bexar County, Texas",1355,116,992,122,992,122,885,133,107,60,0,13,363,87
1400000US48029140200,48029140200,"Census Tract 1402, Bexar County, Texas",2182,213,1150,243,1140,243,1071,227,69,43,10,15,1032,216
1400000US48029140300,48029140300,"Census Tract 1403, Bexar County, Texas",2468,271,1556,262,1556,262,1328,226,228,117,0,13,912,186
1400000US48029140400,48029140400,"Census Tract 1404, Bexar County, Texas",2872,348,1791,293,1791,293,1615,258,176,106,0,13,1081,206
1400000US48029140500,48029140500,"Census Tract 1405, Bexar County, Texas",3256,308,1961,246,1938,241,1756,254,182,81,23,29,1295,224
1400000US48029140600,48029140600,"Census Tract 1406, Bexar County, Texas",1900,176,1075,174,1075,174,917,169,158,87,0,13,825,126
1400000US48029140700,48029140700,"Census Tract 1407, Bexar County, Texas",3678,288,2025,276,2025,276,1848,281,177,119,0,13,1653,273
1400000US48029140800,48029140800,"Census Tract 1408, Bexar County, Texas",4286,460,2523,418,2523,418,2181,388,342,164,0,13,1763,260
1400000US48029140900,48029140900,"Census Tract 1409, Bexar County, Texas",1464,137,760,108,760,108,694,93,66,38,0,13,704,105
1400000US48029141000,48029141000,"Census Tract 1410, Bexar County, Texas",2579,299,1425,183,1425,183,1190,187,235,95,0,13,1154,204
1400000US48029141101,48029141101,"Census Tract 1411.01, Bexar County, Texas",3286,350,1608,288,1608,288,1466,286,142,111,0,13,1678,233
1400000US48029141102,48029141102,"Census Tract 1411.02, Bexar County, Texas",2571,338,1540,293,1540,293,1392,308,148,99,0,13,1031,177
1400000US48029141200,48029141200,"Census Tract 1412, Bexar County, Texas",4964,544,3179,465,3179,465,3005,454,174,103,0,18,1785,381
1400000US48029141300,48029141300,"Census Tract 1413, Bexar County, Texas",4556,449,2764,384,2764,384,2469,335,295,109,0,18,1792,246
1400000US48029141402,48029141402,"Census Tract 1414.02, Bexar County, Texas",2836,273,2066,199,2066,199,1893,213,173,121,0,13,770,178
1400000US48029141403,48029141403,"Census Tract 1414.03, Bexar County, Texas",3328,351,2124,366,2124,366,1978,356,146,94,0,13,1204,219
1400000US48029141404,48029141404,"Census Tract 1414.04, Bexar County, Texas",3886,353,2357,297,2357,297,2078,257,279,161,0,13,1529,233
1400000US48029141600,48029141600,"Census Tract 1416, Bexar County, Texas",3397,233,2326,175,2302,180,2176,168,126,78,24,27,1071,188
1400000US48029141700,48029141700,"Census Tract 1417, Bexar County, Texas",3703,317,2578,305,2569,307,2273,266,296,128,9,15,1125,201
1400000US48029141800,48029141800,"Census Tract 1418, Bexar County, Texas",3460,325,2031,259,2031,259,1820,233,211,83,0,13,1429,251
1400000US48029141900,48029141900,"Census Tract 1419, Bexar County, Texas",4766,639,2953,499,2953,499,2611,447,342,157,0,18,1813,334
1400000US48029150100,48029150100,"Census Tract 1501, Bexar County, Texas",4168,395,2544,323,2544,323,2298,308,246,104,0,18,1624,256
1400000US48029150300,48029150300,"Census Tract 1503, Bexar County, Texas",3686,392,2140,322,2112,325,1791,336,321,125,28,45,1546,301
1400000US48029150400,48029150400,"Census Tract 1504, Bexar County, Texas",3000,403,1503,270,1503,270,1391,261,112,75,0,13,1497,362
1400000US48029150501,48029150501,"Census Tract 1505.01, Bexar County, Texas",3814,326,2110,269,2110,269,1821,264,289,111,0,13,1704,248
1400000US48029150502,48029150502,"Census Tract 1505.02, Bexar County, Texas",3047,311,1750,274,1750,274,1581,268,169,110,0,13,1297,197
1400000US48029150600,48029150600,"Census Tract 1506, Bexar County, Texas",3462,331,1863,259,1816,244,1527,194,289,108,47,54,1599,265
1400000US48029150700,48029150700,"Census Tract 1507, Bexar County, Texas",4640,475,2671,401,2671,401,2458,399,213,129,0,18,1969,331
1400000US48029150800,48029150800,"Census Tract 1508, Bexar County, Texas",1936,277,980,191,980,191,810,171,170,87,0,13,956,234
1400000US48029150900,48029150900,"Census Tract 1509, Bexar County, Texas",4857,479,2735,437,2735,437,2429,390,306,147,0,18,2122,319
1400000US48029151000,48029151000,"Census Tract 1510, Bexar County, Texas",2359,247,1540,279,1540,279,1258,238,282,117,0,13,819,161
1400000US48029151100,48029151100,"Census Tract 1511, Bexar County, Texas",5651,469,3199,423,3199,423,2635,336,564,254,0,18,2452,403
1400000US48029151200,48029151200,"Census Tract 1512, Bexar County, Texas",7947,924,5426,929,5426,929,4833,703,593,322,0,18,2521,376
1400000US48029151301,48029151301,"Census Tract 1513.01, Bexar County, Texas",4440,436,2543,358,2543,358,2165,278,378,170,0,18,1897,344
1400000US48029151302,48029151302,"Census Tract 1513.02, Bexar County, Texas",2638,258,1485,229,1485,229,1233,177,252,145,0,13,1153,173
1400000US48029151400,48029151400,"Census Tract 1514, Bexar County, Texas",3778,394,2241,273,2241,273,1839,266,402,162,0,13,1537,299
1400000US48029151500,48029151500,"Census Tract 1515, Bexar County, Texas",2010,228,1134,127,1134,127,898,159,236,112,0,13,876,196
1400000US48029151600,48029151600,"Census Tract 1516, Bexar County, Texas",5619,359,3273,294,3273,294,3115,314,158,96,0,18,2346,288
1400000US48029151700,48029151700,"Census Tract 1517, Bexar County, Texas",5245,482,3146,340,3146,340,2871,350,275,105,0,18,2099,303
1400000US48029151900,48029151900,"Census Tract 1519, Bexar County, Texas",4564,466,3065,439,3065,439,2856,442,209,108,0,18,1499,225
1400000US48029152000,48029152000,"Census Tract 1520, Bexar County, Texas",1541,204,986,187,977,186,780,167,197,106,9,14,555,121
1400000US48029152100,48029152100,"Census Tract 1521, Bexar County, Texas",3803,411,2150,317,2150,317,1941,307,209,92,0,18,1653,299
1400000US48029152201,48029152201,"Census Tract 1522.01, Bexar County, Texas",5871,590,3405,464,3405,464,3090,442,315,142,0,18,2466,459
1400000US48029152202,48029152202,"Census Tract 1522.02, Bexar County, Texas",3257,475,2059,382,2059,382,1842,342,217,111,0,13,1198,254
1400000US48029160100,48029160100,"Census Tract 1601, Bexar County, Texas",4787,479,2636,361,2636,361,2317,392,319,147,0,18,2151,361
1400000US48029160200,48029160200,"Census Tract 1602, Bexar County, Texas",1877,223,1052,198,1052,198,996,192,56,38,0,13,825,123
1400000US48029160300,48029160300,"Census Tract 1603, Bexar County, Texas",4049,370,2304,291,2304,291,2211,297,93,54,0,18,1745,242
1400000US48029160400,48029160400,"Census Tract 1604, Bexar County, Texas",3409,291,2033,239,2033,239,1928,239,105,63,0,13,1376,206
1400000US48029160501,48029160501,"Census Tract 1605.01, Bexar County, Texas",2362,238,1408,185,1408,185,1092,170,316,116,0,13,954,198
1400000US48029160502,48029160502,"Census Tract 1605.02, Bexar County, Texas",3245,319,2024,290,2024,290,1630,274,394,126,0,13,1221,216
1400000US48029160600,48029160600,"Census Tract 1606, Bexar County, Texas",3617,340,1714,344,1714,344,1477,323,237,114,0,18,1903,275
1400000US48029160701,48029160701,"Census Tract 1607.01, Bexar County, Texas",2622,274,1459,180,1459,180,1324,186,135,70,0,13,1163,250
1400000US48029160702,48029160702,"Census Tract 1607.02, Bexar County, Texas",3792,333,2065,331,2052,331,1691,262,361,209,13,20,1727,193
1400000US48029160901,48029160901,"Census Tract 1609.01, Bexar County, Texas",2150,282,1190,213,1190,213,1043,191,147,70,0,13,960,210
