predict_all true_all
31.6966600927514 28.4
33.715366701987 30
30.5917858348336 27.5
29.6305372508287 27.4
26.8993130996965 27.3
31.2653541059294 27.5
31.0323853501322 26.7
33.1773310847581 34.6
29.7369344283907 30.4
27.8233174207108 31.2
32.9049157225826 36.9
31.3885869115364 30.7
32.8164905545436 29.3
30.2656446224663 32.9
30.7305874049005 34.1
32.807125846681 35.8
33.0392936970892 34.6
42.4360044205844 44.2
35.8663749913419 42.6
35.788033565778 39.4
33.5082704463222 40
30.3514740285677 34.7
31.0413748295509 26.8
30.3462358742745 32.9
31.8899681520583 28.7
37.0832133758032 39.2
31.536227790741 32
34.6298846541091 36.7
29.4247089147782 23
32.0445793790379 26.3
29.303475390187 27.2
31.3641607393232 18.9
30.9996920834707 34
31.2219828180917 36.2
28.5595321580128 27.4
29.8108223124479 30.9
28.5208435899324 22.6
29.5322429027929 28.5
34.3765500535924 23.4
32.249174803021 31.2
29.1220905409129 30
30.7401575533307 25.6
30.9402717669259 28.8
33.8743127994919 31
36.4239815132774 32.7
32.0110677393512 28.5
30.0208715819484 29.2
30.6752006339102 29
32.3090168873251 27.1
33.4341348348713 28.7
32.9188272592322 30.9
30.9996920834707 24.9
30.7781001498952 25.1
26.1218690366902 24
29.2936118610975 25.7
29.5890070116863 25.6
32.9261241406706 29.4
31.9116224473345 26.1
36.6383482839132 42.1
41.4031366350988 44.1
34.913967153549 41
42.3485436001188 43.6
42.1119796048214 45.3
42.3650159211158 44.2
37.7448096879276 41.6
38.8122591527095 42.5
31.3357800635101 40
34.4274428068551 41.3
37.5987898932447 41.9
33.2941465417605 36.7
34.9468144068452 38.4
31.084032152016 35.2
37.4749002108726 37.9
33.9409971446791 36.5
32.9374157326817 34.2
34.8382325161782 33.6
33.7012179557151 39.6
31.9116224473345 30.9
30.9385344003345 34.4
33.9234136809966 31
32.5661416621876 27.8
36.0451707821945 37.7
37.8902460756269 37.1
35.3964032256618 39.6
39.0431078502378 36
41.7010784162665 35
36.15859454946 39.4
31.0120709467529 36.1
36.176441547652 37.9
32.556732952494 37.8
